"PANGO Lineage"	"Partial-aliased PANGO Lineage"	"Unaliased PANGO Lineage"	"Designation Date"	"GitHub Issue"
B.1.1.529	BA	B.1.1.529	2021-11-24	#343
BA.1	BA.1	B.1.1.529.1	2021-12-07	#361
BA.1.1	BA.1.1	B.1.1.529.1.1	2022-01-07	#360
BA.1.1.1	BA.1.1.1	B.1.1.529.1.1.1	2022-02-23
BC.1	BA.1.1.1.1	B.1.1.529.1.1.1.1	2022-02-23
BC.2	BA.1.1.1.2	B.1.1.529.1.1.1.2	2022-06-13	#570
BA.1.1.2	BA.1.1.2	B.1.1.529.1.1.2	2022-02-23
BA.1.1.3	BA.1.1.3	B.1.1.529.1.1.3	2022-02-23
BA.1.1.4	BA.1.1.4	B.1.1.529.1.1.4	2022-02-23
BA.1.1.5	BA.1.1.5	B.1.1.529.1.1.5	2022-02-23
BA.1.1.6	BA.1.1.6	B.1.1.529.1.1.6	2022-02-23
BA.1.1.7	BA.1.1.7	B.1.1.529.1.1.7	2022-02-23
BA.1.1.8	BA.1.1.8	B.1.1.529.1.1.8	2022-02-23
BA.1.1.9	BA.1.1.9	B.1.1.529.1.1.9	2022-02-23
BA.1.1.10	BA.1.1.10	B.1.1.529.1.1.10	2022-02-23
BA.1.1.11	BA.1.1.11	B.1.1.529.1.1.11	2022-02-23
BA.1.1.12	BA.1.1.12	B.1.1.529.1.1.12	2022-02-23
BA.1.1.13	BA.1.1.13	B.1.1.529.1.1.13	2022-02-23
BA.1.1.14	BA.1.1.14	B.1.1.529.1.1.14	2022-02-23
BA.1.1.15	BA.1.1.15	B.1.1.529.1.1.15	2022-02-23
BA.1.1.16	BA.1.1.16	B.1.1.529.1.1.16	2022-02-23
BA.1.1.17	BA.1.1.17	B.1.1.529.1.1.17	2022-04-14	#452
BA.1.1.18	BA.1.1.18	B.1.1.529.1.1.18	2022-04-20
BA.1.2	BA.1.2	B.1.1.529.1.2	2022-02-16
BA.1.3	BA.1.3	B.1.1.529.1.3	2022-02-16
BA.1.4	BA.1.4	B.1.1.529.1.4	2022-02-16
BA.1.5	BA.1.5	B.1.1.529.1.5	2022-02-16
BA.1.6	BA.1.6	B.1.1.529.1.6	2022-02-16
BA.1.7	BA.1.7	B.1.1.529.1.7	2022-02-16
BA.1.8	BA.1.8	B.1.1.529.1.8	2022-02-16
BA.1.9	BA.1.9	B.1.1.529.1.9	2022-02-16
BA.1.10	BA.1.10	B.1.1.529.1.10	2022-02-16
BA.1.12	BA.1.12	B.1.1.529.1.12	2022-02-16
BA.1.13	BA.1.13	B.1.1.529.1.13	2022-02-16
BA.1.13.1	BA.1.13.1	B.1.1.529.1.13.1	2022-02-16
BA.1.14	BA.1.14	B.1.1.529.1.14	2022-02-16
BA.1.14.1	BA.1.14.1	B.1.1.529.1.14.1	2022-04-08	#506
BA.1.14.2	BA.1.14.2	B.1.1.529.1.14.2	2022-04-08
BA.1.15	BA.1.15	B.1.1.529.1.15	2022-02-16
BA.1.15.1	BA.1.15.1	B.1.1.529.1.15.1	2022-02-16
BA.1.15.2	BA.1.15.2	B.1.1.529.1.15.2	2022-04-08	#508
BA.1.15.3	BA.1.15.3	B.1.1.529.1.15.3	2022-06-13	#573
BA.1.16	BA.1.16	B.1.1.529.1.16	2022-02-23
BA.1.16.1	BA.1.16.1	B.1.1.529.1.16.1	2022-02-23
BA.1.16.2	BA.1.16.2	B.1.1.529.1.16.2	2022-04-14
BA.1.17	BA.1.17	B.1.1.529.1.17	2022-02-23
BA.1.17.1	BA.1.17.1	B.1.1.529.1.17.1	2022-02-23
BA.1.17.2	BA.1.17.2	B.1.1.529.1.17.2	2022-04-01	#462
BD.1	BA.1.17.2.1	B.1.1.529.1.17.2.1	2022-06-10	#461
BA.1.18	BA.1.18	B.1.1.529.1.18	2022-03-29	#474
BA.1.19	BA.1.19	B.1.1.529.1.19	2022-03-29
BA.1.20	BA.1.20	B.1.1.529.1.20	2022-04-08	#375
BA.1.21	BA.1.21	B.1.1.529.1.21	2022-04-08	#505
BA.1.21.1	BA.1.21.1	B.1.1.529.1.21.1	2022-04-08	#409
BA.1.22	BA.1.22	B.1.1.529.1.22	2022-04-19	#529
BA.1.23	BA.1.23	B.1.1.529.1.23	2022-06-07	#663
BA.1.24	BA.1.24	B.1.1.529.1.24	2022-06-08	#666
BA.2	BA.2	B.1.1.529.2	2021-12-07	#361
BA.2.1	BA.2.1	B.1.1.529.2.1	2022-02-25
BA.2.2	BA.2.2	B.1.1.529.2.2	2022-02-25
BA.2.2.1	BA.2.2.1	B.1.1.529.2.2.1	2022-06-13	#675
BA.2.3	BA.2.3	B.1.1.529.2.3	2022-02-25
BA.2.3.1	BA.2.3.1	B.1.1.529.2.3.1	2022-04-01	#495
BA.2.3.2	BA.2.3.2	B.1.1.529.2.3.2	2022-04-04
